county_id,county_name,available_ha,requested_xpv_ha,effective_ha_used,missing_ha_to_fit,land_ok,grid_ok,eligible,nearest_substation_km,substations_within_radius,lat,lon,pvgis_Ey_kWh_per_kWp,sat_corrected_Ey_kWh_per_kWp,surrogate_Ey_kWh_per_kWp,Ey_used_kWh_per_kWp,panel_kWp,n_panels_used,annual_energy_kWh,cloud_mean,albedo_mean,error
RO312,Călăraşi,440232.0,60.0,60.0,0.0,True,True,True,9.205458667210804,8,44.3007848846866,26.969507056873972,1285.88,1381.5156821023354,1290.3799117733256,1290.3799117733256,0.45,122448,71101997.74656908,0.6098347229676114,0.0889761032767818,
RO313,Dâmboviţa,220525.0,60.0,60.0,0.0,True,True,True,2.0363667772852376,12,44.91645315253179,25.4880646692991,1300.63,1300.770964737903,1277.7046398106195,1277.7046398106195,0.45,122448,70403569.98098883,,0.0835317346150632,
RO314,Giurgiu,273272.0,60.0,60.0,0.0,True,True,True,6.529631455039472,11,44.07802358433209,26.009566525120405,1292.71,1350.2968925296702,1298.4752011142027,1298.4752011142027,0.45,122448,71548061.14171436,0.61855555491315,0.086953908547094,
RO315,Ialomiţa,381849.0,60.0,60.0,0.0,True,True,True,6.61100927029729,3,44.66110357340558,27.23963279990986,1293.6,1470.1105955300723,1296.331360573363,1296.331360573363,0.45,122448,71429932.09776923,0.5882111092408498,0.0924427173494092,
RO316,Prahova,240331.0,60.0,60.0,0.0,True,True,True,6.975388249941986,46,45.102268957679655,26.029207501312843,1266.03,1265.9316363702537,1245.6456309702894,1245.6456309702894,0.45,122448,68637067.2994725,,0.0811721961596965,
RO317,Teleorman,487798.0,60.0,60.0,0.0,True,True,True,14.064446322380627,9,44.085295165670836,25.2146223038638,1294.08,1294.8450393673445,1292.4528810840795,1292.4528810840795,0.45,122448,71216221.67234251,,0.0888297553438919,
RO321,Bucureşti,3322.0,60.0,60.0,0.0,True,True,True,0.8852817543677002,213,44.43730067169422,26.11024302503048,1297.47,1298.9116801719606,1297.7640471137313,1297.7640471137313,0.45,122448,71508875.41844198,,0.1014704300751794,
RO322,Ilfov,97847.0,60.0,60.0,0.0,True,True,True,1.4448223240835394,210,44.50218888256205,26.236379795555443,1290.06,1290.7665345494886,1287.8922089029616,1287.8922089029616,0.45,122448,70964921.33808742,,0.090722573404246,
RO411,Dolj,577548.0,60.0,60.0,0.0,True,True,True,10.567411159690753,15,44.209022276215926,23.66774097759241,1305.57,1420.3879000950578,1306.5065848918434,1306.5065848918434,0.45,122448,71990603.2380764,0.5997083358880547,0.0887036778063796,
RO412,Gorj,207684.0,60.0,60.0,0.0,True,True,True,4.715581304090169,12,45.011557831790014,23.23812555329131,1291.19,1290.6171618848823,1238.7791176151543,1238.7791176151543,0.45,122448,68258711.42718318,,0.0740098024356172,
