NUTS_ID,cloud_mean,cloud_m01,cloud_m02,cloud_m03,cloud_m04,cloud_m05,cloud_m06,cloud_m07,cloud_m08,cloud_m09,cloud_m10,cloud_m11,cloud_m12
AT125,0.6963520838568608,0.8226666649182638,0.7249666651089987,0.6708666483561198,0.7031000057856241,0.6916249990463257,0.5995000004768372,0.6319500207901001,0.5893500000238419,0.5932750180363655,0.7277500033378601,0.7567249834537506,0.8444499969482422
AT2,0.7235025473766857,0.7408222357432047,0.749455557929145,0.7622555560535855,0.7499555614259507,0.8043583283821741,0.6816500077644984,0.6748583267132442,0.6368000010649363,0.664274995525678,0.7352999995152155,0.7330499986807506,0.749249999721845
AT21,0.7129375046739975,0.7204333543777466,0.7367333372433981,0.7464999953905741,0.7210333347320557,0.812375009059906,0.6711500138044357,0.6368249952793121,0.618925005197525,0.6637999936938286,0.7322750091552734,0.7291499972343445,0.7660500109195709
AT213,0.7129375046739975,0.7204333543777466,0.7367333372433981,0.7464999953905741,0.7210333347320557,0.812375009059906,0.6711500138044357,0.6368249952793121,0.618925005197525,0.6637999936938286,0.7322750091552734,0.7291499972343445,0.7660500109195709
AT22,0.7287850687280297,0.7510166764259338,0.7558166682720184,0.7701333363850912,0.7644166747728983,0.8003499880433083,0.6869000047445297,0.6938749924302101,0.645737498998642,0.6645124964416027,0.7368124946951866,0.7349999994039536,0.740849994122982
AT222,0.7347291652113199,0.7509000102678934,0.7638333439826965,0.7888000011444092,0.7702666719754537,0.8068499863147736,0.684675008058548,0.7051499933004379,0.6450249999761581,0.673399992287159,0.7412749826908112,0.7445250004529953,0.7420499920845032
AT223,0.7228409722447395,0.7511333425839742,0.7477999925613403,0.7514666716257731,0.758566677570343,0.793849989771843,0.6891250014305115,0.6825999915599823,0.6464499980211258,0.6556250005960464,0.7323500066995621,0.7254749983549118,0.7396499961614609
AT3,0.7346946753699469,0.7767555481857724,0.7736444373925527,0.7795500059922537,0.7654944459597269,0.7738124976555506,0.6612458328406016,0.7248791679739952,0.6056500015159447,0.6592499973873297,0.7433125029007593,0.778287502626578,0.7744541640082996
AT31,0.7348968754005102,0.8294666707515717,0.7972166538238525,0.7463833391666412,0.7408333321412405,0.703562505543232,0.643775001168251,0.7094749957323074,0.6037500016391277,0.6195750012993813,0.7636374980211258,0.8221750110387802,0.8389124944806099
AT311,0.7390402791400751,0.8294333418210348,0.804533322652181,0.7503666679064432,0.7394000093142191,0.7033250033855438,0.6420750021934509,0.7213499993085861,0.5959499999880791,0.6233749911189079,0.7722499966621399,0.8379250168800354,0.8484999984502792
AT313,0.7307534716609451,0.8294999996821085,0.789899984995524,0.7424000104268392,0.7422666549682617,0.7038000077009201,0.6454750001430511,0.6975999921560287,0.6115500032901764,0.6157750114798546,0.7550249993801117,0.806425005197525,0.8293249905109406
AT32,0.7393930568877193,0.7430999875068665,0.7633999983469645,0.7916000088055929,0.7866666714350382,0.815774992108345,0.6803250014781952,0.731674998998642,0.6295500099658966,0.6730499938130379,0.7481750100851059,0.763374999165535,0.7460250109434128
