NUTS_ID,albedo_mean,albedo_m01,albedo_m02,albedo_m03,albedo_m04,albedo_m05,albedo_m06,albedo_m07,albedo_m08,albedo_m09,albedo_m10,albedo_m11,albedo_m12
HU322,0.08391036116509913,0.07465948235088338,0.09089050079152608,0.08131362652005791,0.07214209943000849,0.06908752120022352,0.0819109603057153,0.0984179292294153,0.09582089551060316,0.0939399949349587,0.08771677615449198,0.0843697434422584,0.07665480411104729
HU323,0.08176569389457815,0.07648756894998188,0.09852824753980498,0.09215417865476655,0.08977093771887078,0.08023919251052217,0.0703911714118079,0.06781954438963406,0.07226120513379497,0.07968485409941395,0.0822497500977381,0.08677291306669146,0.08482876316191085
HU33,0.0854102848844734,0.07394003303595295,0.09013912186680435,0.08109444793674488,0.0738839975194726,0.07187107394021391,0.08148630105480029,0.09910038622568744,0.10040268744971642,0.09636893334184421,0.09225625039130832,0.08478340490764058,0.07959678094349479
HU331,0.09043380698005175,0.08899937487310833,0.10703739979200894,0.09807161862651508,0.08906577403346698,0.08044661436643866,0.08279843349009752,0.09205075829393335,0.09171484555635187,0.08907934029897055,0.0899051852800228,0.09341259166184399,0.0826237474878629
HU332,0.0834525244399532,0.0718748950457031,0.08840813933674133,0.07824708032324823,0.07151372864080424,0.07002159162904277,0.07955290956756628,0.09718205477227736,0.09984766590088524,0.09574142255058343,0.09230642742242175,0.0842170692513,0.07251730883886452
HU333,0.0876677146283878,0.07649832405958987,0.09204471490811557,0.08483181237243116,0.0769409662403632,0.07444034560467117,0.08460401860153619,0.10271015318112668,0.1068154530465009,0.09782856133436327,0.09231359952795783,0.08267478388151563,0.0803098427824823
RO,0.07864289627895403,0.08290428089053736,0.09817055206709294,0.09072811729772218,0.07923847195814063,0.06695963979824007,0.06445030269988633,0.0705953711428398,0.06975576172907377,0.07695640133767825,0.0799191577395218,0.08335639485427235,0.08068030383244297
RO1,0.07843634643111719,0.08127511506783196,0.10120479972167502,0.09187347205390123,0.07962267373459297,0.06237893547170891,0.05637820966216324,0.058089650918317304,0.0590507677687309,0.06568902264265664,0.0727368557503965,0.08142044227837564,0.13151621210305597
RO11,0.08163013525646595,0.08132459558199912,0.10183259110599624,0.09295285906120912,0.08275420856797167,0.06444502402021124,0.059419733892875026,0.061003021688349396,0.06263523758558495,0.06847821189275008,0.07485514526429234,0.08349087031697111,0.14637012409938108
RO111,0.08020899783638834,0.08222077363159974,0.1032186146529822,0.09262431616637173,0.08295484427705056,0.06809065350371635,0.06591862016379056,0.07075805642390205,0.07499893263394569,0.07503836077629837,0.08164965576487325,0.08389949371975836,0.08113565232237104
RO112,0.08095135508941574,0.0834094243322969,0.11178922327484109,0.09520956883094817,0.08326578596585492,0.0613549508450152,0.05345407954472643,0.05369793792350555,0.056206106268649546,0.06232031314809867,0.07102817970599688,0.0933298266514426,0.14635086458161306
RO113,0.07589478905307143,0.08259956156338871,0.1064605276236817,0.093343952003335,0.08080363732495158,0.06148890101086994,0.056145421709098906,0.05868211753530645,0.06546656361991693,0.0668097448066258,0.07277765472039908,0.08416265389521291,0.08199673282406993
RO114,0.08183811336322155,0.08116022375344678,0.15108516014966306,0.09338273068428635,0.08345828047865608,0.0585194256957766,0.04979662553754503,0.04882812231223472,0.051811429638262844,0.058203107950988375,0.06566456077276471,0.08441792550923186,0.1557297678758022
RO115,0.083936996242367,0.07848435493945059,0.10115093087635765,0.0920660521455853,0.08540469687873437,0.07722911623195285,0.07480468230601127,0.07519128713845076,0.07739035063947163,0.08477724991299404,0.08452622689330021,0.08867638007949263,0.08754262686660254
RO116,0.07568896469997034,0.08218086163337895,0.10038476270697677,0.09204032538722005,0.08110705809667706,0.06155665058913238,0.0580544860770359,0.059711786310957825,0.06641925726239638,0.06696256893647494,0.07510484609060468,0.08246830743143413,0.08227666587735498
RO12,0.07226859471335408,0.08122714716493015,0.10087409951649541,0.09075300493249125,0.07637996043044404,0.06026347660380748,0.05323566337629671,0.055113651385932355,0.05608453256364322,0.06275255393212535,0.07057838950285912,0.07971134457837727,0.08024931257284657
RO121,0.0739455676578285,0.08591510044812627,0.10285766324414533,0.08880437476246698,0.07977034097813199,0.06122291513866248,0.05236400725244627,0.05413747454118172,0.059712124386258954,0.06310948605757845,0.07302620223854685,0.08270915221612024,0.08371797063027647
RO122,0.07427078066995592,0.08231087312240719,0.11729983366012577,0.09652333527743728,0.07698651982954197,0.06042944182351551,0.053203290847106816,0.055881951743772196,0.057393206613778655,0.06355936997252015,0.07106263496015458,0.07841131904046454,0.07818759114864633
RO123,0.07097498517486034,0.07659019727893779,0.09836471937897674,0.09025105241641242,0.07359802570675364,0.05850739151846324,0.05195075354074886,0.05532049790917711,0.054530866763370114,0.0647672910286027,0.07183748911298839,0.08014680904695502,0.07583472839693806
RO124,0.06858190988350894,0.07897336484984406,0.09609777511277541,0.09001543157614668,0.07325120076027127,0.05827981452848556,0.05101926890795714,0.05126900817014335,0.050370172316054486,0.05704052563004482,0.06227554161398032,0.07789518239840959,0.07649563273799455
RO125,0.07445321815599389,0.08131065616939434,0.09104768005107709,0.09125658427589689,0.07770836285663865,0.0631547440875618,0.057586264737703556,0.059666438442798723,0.060075209947066985,0.06721318439058797,0.07589392872632374,0.08385374500788208,0.08467181917899481
RO126,0.0719327553873071,0.08310022826098262,0.09867632671554812,0.09115523746616892,0.07643200182213242,0.05908022721315252,0.05250401866772374,0.054421375015326755,0.05714579535707373,0.06270289327019296,0.07007269555046734,0.07865657328438513,0.07924569202453094
RO2,0.0824100040620814,0.08691780583470292,0.09813475665654939,0.09353079780495249,0.08129673928227076,0.07175244250798893,0.07046736081633656,0.07587419385081086,0.07434660284495091,0.08167316921720347,0.08210962680499136,0.08745842500859573,0.08535812811562361
RO21,0.07772682797824733,0.08484082376960433,0.09965819719156802,0.09114233130793378,0.07894614115822352,0.06766631647255422,0.06333056130349127,0.06402800151249467,0.06264517974134722,0.0699749546876181,0.07419297947431468,0.0862455386878955,0.09005091043192258
RO211,0.07455125286350867,0.09243332442673591,0.09350339241580934,0.09211794937357436,0.0790118357506423,0.06388803580993753,0.056533454576100886,0.0567312500687736,0.05615051494810776,0.06255083581485119,0.07217321425531674,0.08927059392501936,0.08025063299723495
RO212,0.0853398853334905,0.08858116750022513,0.10323396564582725,0.09559517701429068,0.083441136758314,0.0766881419484429,0.07459331612546882,0.07398532388973006,0.07284930419761917,0.08207584778721534,0.08470451257807184,0.08951431198514934,0.09881641857153153
RO213,0.08594379254585525,0.08353469614528003,0.10302255322139224,0.0979722646175683,0.08601066382723684,0.0757037322509571,0.07304442521652114,0.07544218934836346,0.07496273380633352,0.08331574109820401,0.08631329581885833,0.0914519713263933,0.10055124387315459
RO214,0.07163780182373511,0.0880241391859373,0.09324553024061313,0.08801361718738165,0.07526022088826731,0.06387564023567709,0.05710813782083102,0.054646760365495116,0.05209005065533536,0.05933687482752913,0.0669545276529575,0.08551127037191199,0.07558685245288461
RO215,0.06782249269283301,0.07864256944871602,0.09905386506370475,0.08367192844948887,0.06922330320032113,0.059311836390443254,0.05251146689582337,0.049429632093521525,0.04864644718600616,0.05667674016019506,0.06001196204744181,0.08001386270533381,0.07667629867300019
RO216,0.08677581258717308,0.09092335094404767,0.09943761684529114,0.09566835939677452,0.08496361914049669,0.07296156563822284,0.0734335353381064,0.08574064558189876,0.08435340042839004,0.0863903633402156,0.08752297247162476,0.09214524266363816,0.08776907925737049
RO22,0.08864105677378993,0.09656881007772986,0.09837225735087449,0.09572284226859304,0.08382509042689197,0.07610686389394322,0.07796902525336144,0.08949131882831929,0.08886222373212967,0.09414865482724752,0.09123750246477391,0.08923411323462756,0.08215397892698717
RO221,0.09625443031359093,0.09574292703068148,0.10328269368845577,0.10080203091006944,0.09142977023948001,0.08802227637215973,0.08813819359594081,0.09848917069446889,0.09853354607201197,0.10433622239967981,0.10119101323767903,0.09807804494059377,0.0870072745818707
RO222,0.08111833912199522,0.07776524515995334,0.09474940358285132,0.09125298959440176,0.0792223768796057,0.06873053742955762,0.06701544010838871,0.07469125065413806,0.07990857252591554,0.08733258363346727,0.0837928427745655,0.087335949498394,0.08162287762270386
RO223,0.10514599464940229,0.18939362582884584,0.10232515769268725,0.09439994380299732,0.0811878904249687,0.07729217824415928,0.08891705179502937,0.11948105596595,0.11294401750335095,0.1121178265673845,0.10451612867774546,0.09523588794387422,0.0839411713458346
RO224,0.09371959486769427,0.08878969429920827,0.10029517933384054,0.10017592782215999,0.09060296842768921,0.08414379450622979,0.08558891535714681,0.09766951515687165,0.10027611252587994,0.10223306917074354,0.09713307218739918,0.09173211079164284,0.08599477883351926
RO225,0.0864263303432516,0.10434225528225616,0.09558152347899733,0.09576363620029192,0.08262902282760004,0.0746996323001646,0.07695552096633748,0.08508776688034857,0.08313305725813591,0.08631695289793895,0.08748630183772048,0.07998034848560459,0.08513994570362336
RO226,0.0779910811364124,0.08933250811262959,0.09480235011220106,0.09769090827106704,0.08167624346913463,0.06693081840404883,0.060760314814409036,0.06451998912113271,0.06520119863159829,0.07168971597583046,0.07803799884154124,0.08626309861111651,0.0789878292722393
RO3,0.08499949030470215,0.08500897735151863,0.09982075780921174,0.09103835746604647,0.08048504029710363,0.07251684340197015,0.07347278824428484,0.08812754144137212,0.08374407379784549,0.0922041660546295,0.09055763415969707,0.08749457578660061,0.07552312784614565
RO31,0.08459870146818516,0.0848500082702324,0.09923727664057994,0.09072893556903469,0.08012540808895262,0.07207381038972728,0.07290759368664096,0.0876220551041228,0.08322402973828519,0.092071991519936,0.09035858208523144,0.08700829543279749,0.0749764310926811
RO311,0.07723237451560126,0.08603465860660782,0.10389093901770005,0.09328575921778821,0.08234362034129891,0.06652315307718884,0.056919903446090284,0.06594586528790597,0.0608360458412663,0.0668405727368641,0.07892813379884069,0.08664105931083865,0.07859878350482544
RO312,0.08897610327678185,0.08021906097730001,0.09591644446186653,0.08642271576895874,0.07682293871210681,0.07582299821492698,0.08343815623058212,0.10632799348874779,0.10292975848079056,0.10522561556689905,0.09887454919507184,0.08719223107770495,0.06852077714642672
RO313,0.08353173461506323,0.08780607983434995,0.10624190065965164,0.10005262444273792,0.08766704013178121,0.07122481291466597,0.06612655087248331,0.07405396087591964,0.07397671325026867,0.07979894450165004,0.08433362320723618,0.09223040329397203,0.0788681613960422
RO314,0.08695390854709405,0.07953517740676679,0.09791586809320214,0.08807638985362304,0.07680587035339372,0.07299322580895674,0.07958943660681446,0.10054663335426929,0.09631131441370237,0.09981617212910025,0.09425236422980292,0.0860445699742126,0.07155988034128442
RO315,0.09244271734940923,0.08284331667917506,0.09801539395515142,0.09143173335872759,0.08284240886752535,0.0810691288998121,0.08586357562834847,0.10884702649188817,0.10442833897194806,0.10702152153970097,0.10289981254454465,0.08977523777903401,0.07427511347705507
RO316,0.08117219615969652,0.09159130866533587,0.11285182350419493,0.09465243882876022,0.0815006390004666,0.06705791232344868,0.06157406542156821,0.06534719115121153,0.0666944983892352,0.07705566322268644,0.08072486881056354,0.08955931762437867,0.0854566269745084
RO317,0.08882975534389198,0.079262494291331,0.0936604242225449,0.08410322598896164,0.07405885233897572,0.07240282091882455,0.08175636709793621,0.1133774204282824,0.10656585718625924,0.1085804368268656,0.09877623240844453,0.0811648751292113,0.07224805728906675
RO32,0.09230439563843572,0.08707714887190258,0.10989083229552632,0.0966925382596889,0.08728987702892886,0.08096394173938919,0.08414888302623122,0.09731139323410036,0.09336952072710633,0.09661617323827948,0.09435403640619217,0.09703058033243776,0.08290782250144543
RO321,0.10147043007517946,0.09350831580884529,0.11671651850896653,0.10762407515536655,0.0990704358978705,0.09259721670638431,0.09714252789589492,0.10397459160197864,0.10287357206371697,0.10480267234485258,0.10242815749713467,0.10622062662409412,0.09068645079704848
RO322,0.09072257340424607,0.08606653692466872,0.10854177937718443,0.09496658548523891,0.08543864634952375,0.0791358556731471,0.08210702454671263,0.09616728218720956,0.09177620275502853,0.09430543427554124,0.09297789603370388,0.09553626190540003,0.08165137533759398
RO4,0.0772815423784549,0.08133911958451756,0.09712973748865103,0.08710141574288582,0.07567196739976381,0.06312111122565019,0.061230396845724566,0.06942736896806334,0.07020220817088735,0.07666197600958644,0.08012062499382629,0.08077380012584913,0.0845987819860532
RO41,0.08061565911542708,0.08336833741527128,0.10087894381142212,0.09013673659458903,0.07828713182805418,0.06555252744317133,0.06427372040998708,0.07546896066642168,0.07375313010946587,0.08378879133924433,0.08407515069539183,0.08239157660004977,0.08541290247205638
RO411,0.08870367780637965,0.08234525944440672,0.1059852810480896,0.09071359820917889,0.08052915844856277,0.07362419146303784,0.07809328424360172,0.09613786621125736,0.09224804461026032,0.0985638448332437,0.09589228628065134,0.08471561413392054,0.08559570475034509
